claim_id,policy_id,insured_id,vehicle_id,driver_id,provider_id,line_of_business,coverage,claim_type,channel,city,branch,vehicle_year,vehicle_age,claim_amount,estimated_damage_amount,paid_amount,claim_status,sum_insured,deductible,incidents_last_12_months,incidents_last_18_months,vehicle_incidents_last_18_months,driver_incidents_last_18_months,prior_rc_claims,days_since_policy_start,days_until_policy_end,days_between_occurrence_report,occurred_at,submitted_at,is_night_claim,documents_complete,missing_critical_document,documents_inconsistent,beneficiary_type,provider_observed_cases,provider_watchlist,accident_dynamics,unidentified_third_party,narrative_similarity_max,narrative_group,customer_segment,customer_tenure_months,customer_policies_count,customer_delinquent,customer_score_simulated,report_narrative,fraud_label,fraud_probability,ml_risk_score,model_version
CLM-00027,POL-10442,CUST-1338,VEH-2754,DRV-1598,PROV-146,vehicles,Responsabilidad Civil,collision,web,Cuenca,Sierra Centro,2007,19,20073,17791,14879,Reserva,30740,900,1,1,1,0,0,711,701,1,2026-03-22T19:23:49.271365+00:00,2026-03-23T19:23:49.271365+00:00,0,1,0,0,Clinica,2,0,frontal,0,0.09,NARR-126,Pyme,24,5,0,740,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.1461,15,sklearn-random-forest-v1
CLM-00028,POL-10459,CUST-406,VEH-700,DRV-302,PROV-23,vehicles,Responsabilidad Civil,collision,callcenter,Quito,Costa,2009,17,2826,1930,0,Reserva,6660,1092,3,3,2,2,5,29,672,3,2026-01-02T19:23:49.271365+00:00,2026-01-05T19:23:49.271365+00:00,0,1,0,0,Asegurado,4,0,frontal,1,0.88,NARR-3,Preferente,5,2,0,453,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9459,95,sklearn-random-forest-v1
CLM-00029,POL-10476,CUST-400,VEH-701,DRV-303,PROV-24,vehicles,Robo parcial,theft,broker,Quito,Sierra Centro,1998,28,30509,14617,0,Reserva,68515,719,2,4,2,1,1,6,640,7,2026-03-01T19:23:49.271365+00:00,2026-03-08T19:23:49.271365+00:00,1,0,1,1,Taller,4,1,frontal,0,0.97,NARR-4,Retail,16,1,0,427,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9716,97,sklearn-random-forest-v1
CLM-00030,POL-10493,CUST-1377,VEH-2841,DRV-1667,PROV-179,vehicles,Choque,collision,app,Quito,Austro,2018,8,5706,5737,4797,Liquidado,11653,706,0,1,0,1,0,668,337,3,2026-02-04T19:23:49.271365+00:00,2026-02-07T19:23:49.271365+00:00,0,1,0,0,Asegurado,0,0,posterior,0,0.19,NARR-129,Pyme,55,3,0,690,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0115,1,sklearn-random-forest-v1
CLM-00031,POL-10510,CUST-1390,VEH-2870,DRV-1690,PROV-110,vehicles,Choque,collision,web,Ambato,Austro,2018,8,12492,14117,7931,Reserva,38437,559,0,1,0,1,1,214,138,2,2026-03-21T19:23:49.271365+00:00,2026-03-23T19:23:49.271365+00:00,1,1,0,0,Taller,0,0,posterior,0,0.44,NARR-130,Preferente,43,3,0,797,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0873,9,sklearn-random-forest-v1
CLM-00032,POL-10527,CUST-1403,VEH-2899,DRV-1713,PROV-121,vehicles,Vidrios,glass,broker,Ambato,Sierra Centro,2018,8,3171,2839,2364,Liquidado,10096,614,1,1,1,1,1,620,340,2,2026-02-23T19:23:49.271365+00:00,2026-02-25T19:23:49.271365+00:00,0,1,0,0,Taller,1,0,normal,0,0.38,NARR-131,Retail,48,2,0,779,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0117,1,sklearn-random-forest-v1
CLM-00033,POL-10544,CUST-1416,VEH-2928,DRV-1736,PROV-132,vehicles,Incendio,fire,app,Loja,Costa,2008,18,10111,13155,7025,Reserva,16670,358,1,1,1,1,0,164,257,0,2026-03-01T19:23:49.271365+00:00,2026-03-01T19:23:49.271365+00:00,1,1,0,0,Clinica,1,0,posterior,0,0.2,NARR-132,Preferente,80,3,0,815,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0627,6,sklearn-random-forest-v1
CLM-00034,POL-10561,CUST-1429,VEH-2957,DRV-1759,PROV-143,vehicles,Otros danos,other,web,Manta,Sierra Centro,2009,17,5414,4162,3462,Reserva,14857,786,0,0,1,1,0,816,169,3,2026-02-12T19:23:49.271365+00:00,2026-02-15T19:23:49.271365+00:00,0,1,0,0,Clinica,1,0,multiple,0,0.36,NARR-133,Pyme,31,3,0,632,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0862,9,sklearn-random-forest-v1
CLM-00035,POL-10578,CUST-1442,VEH-2986,DRV-1782,PROV-154,vehicles,Vidrios,glass,broker,Cuenca,Sierra Centro,2013,13,4962,4253,0,Reserva,5011,509,1,2,0,1,1,815,2,2,2025-12-24T19:23:49.271365+00:00,2025-12-26T19:23:49.271365+00:00,1,1,0,1,Taller,1,1,illogical,0,0.59,NARR-134,Preferente,50,5,0,809,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9526,95,sklearn-random-forest-v1
CLM-00036,POL-10595,CUST-1455,VEH-3015,DRV-1805,PROV-165,vehicles,Otros danos,other,web,Guayaquil,Austro,2018,8,16693,17847,14981,Reserva,34619,713,0,0,1,1,0,665,287,0,2026-04-30T19:23:49.271365+00:00,2026-04-30T19:23:49.271365+00:00,0,1,0,0,Perito,2,0,multiple,0,0.26,NARR-135,Preferente,66,3,0,792,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0289,3,sklearn-random-forest-v1
CLM-00037,POL-10612,CUST-401,VEH-700,DRV-301,PROV-20,vehicles,Atencion medica,injury,broker,Cuenca,Sierra Centro,2002,24,2200,1228,0,Reserva,2222,430,2,4,1,1,1,3,10,9,2026-04-05T19:23:49.271365+00:00,2026-04-14T19:23:49.271365+00:00,1,1,0,1,Taller,6,1,illogical,0,0.8,NARR-0,Preferente,12,2,0,420,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9223,92,sklearn-random-forest-v1
CLM-00038,POL-10629,CUST-1481,VEH-3073,DRV-1851,PROV-107,vehicles,Responsabilidad Civil,collision,app,Quito,Sierra Centro,2015,11,6900,8416,0,Reserva,6969,701,2,2,1,0,0,152,2,0,2026-02-22T19:23:49.271365+00:00,2026-02-22T19:23:49.271365+00:00,0,1,0,1,Clinica,1,1,illogical,0,0.66,NARR-137,Retail,71,3,0,724,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9579,96,sklearn-random-forest-v1
CLM-00039,POL-10646,CUST-1494,VEH-3102,DRV-1874,PROV-118,vehicles,Vidrios,glass,broker,Ambato,Norte,2022,4,3213,3144,2668,Liquidado,8993,281,2,2,0,1,0,496,685,3,2026-04-19T19:23:49.271365+00:00,2026-04-22T19:23:49.271365+00:00,1,1,0,0,Taller,0,0,posterior,0,0.32,NARR-138,Retail,77,4,0,779,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0146,1,sklearn-random-forest-v1
CLM-00040,POL-10663,CUST-404,VEH-703,DRV-304,PROV-23,vehicles,Robo parcial,theft,callcenter,Loja,Norte,2004,22,19665,9958,0,Reserva,37499,442,2,6,1,2,1,6,345,6,2025-12-28T19:23:49.271365+00:00,2026-01-03T19:23:49.271365+00:00,1,1,0,1,Clinica,7,0,volcadura,0,0.76,NARR-3,Pyme,16,1,1,484,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9738,97,sklearn-random-forest-v1
CLM-00041,POL-10680,CUST-1520,VEH-3160,DRV-1020,PROV-140,vehicles,Otros danos,other,broker,Loja,Austro,2015,11,13261,11226,11160,Pago Parcial,33991,548,1,1,1,0,0,357,190,0,2026-04-24T19:23:49.271365+00:00,2026-04-24T19:23:49.271365+00:00,0,1,0,0,Asegurado,1,0,multiple,0,0.13,NARR-140,Retail,43,2,0,696,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0032,0,sklearn-random-forest-v1
CLM-00042,POL-10697,CUST-1533,VEH-3189,DRV-1043,PROV-151,vehicles,Otros danos,other,web,Ambato,Austro,2021,5,3581,3972,0,Reserva,3616,621,2,2,0,0,1,744,6,3,2026-02-07T19:23:49.272364+00:00,2026-02-10T19:23:49.272364+00:00,0,1,0,1,Clinica,2,1,illogical,0,0.41,NARR-141,Preferente,50,5,0,796,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9286,93,sklearn-random-forest-v1
CLM-00043,POL-10714,CUST-400,VEH-706,DRV-302,PROV-20,vehicles,Atencion medica,injury,broker,Ambato,Norte,1998,28,28577,15101,0,Reserva,87249,609,3,5,4,1,1,3,518,11,2026-05-18T19:23:49.272364+00:00,2026-05-29T19:23:49.272364+00:00,1,1,0,0,Clinica,3,0,frontal,0,0.77,NARR-0,Pyme,5,1,1,451,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9828,98,sklearn-random-forest-v1
CLM-00044,POL-10731,CUST-1559,VEH-2047,DRV-1089,PROV-173,vehicles,Incendio,fire,app,Manta,Sierra Centro,2014,12,6014,7484,4936,Liquidado,14032,887,2,2,1,1,1,265,657,2,2026-05-07T19:23:49.272364+00:00,2026-05-09T19:23:49.272364+00:00,0,1,0,0,Asegurado,2,0,posterior,0,0.2,NARR-143,Pyme,76,1,0,667,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0107,1,sklearn-random-forest-v1
CLM-00045,POL-10748,CUST-1572,VEH-2076,DRV-1112,PROV-104,vehicles,Otros danos,other,app,Ambato,Norte,2022,4,12426,9940,10809,Pago Parcial,40731,521,1,2,1,1,1,757,103,2,2026-03-25T19:23:49.272364+00:00,2026-03-27T19:23:49.272364+00:00,0,1,0,0,Perito,0,0,posterior,0,0.13,NARR-144,Retail,54,2,0,653,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.017,2,sklearn-random-forest-v1
CLM-00046,POL-10765,CUST-403,VEH-700,DRV-300,PROV-23,vehicles,Atencion medica,injury,broker,Manta,Norte,2000,26,29728,18906,0,Reserva,99272,857,5,5,3,4,0,1,218,8,2026-05-22T19:23:49.272364+00:00,2026-05-30T19:23:49.272364+00:00,1,0,1,0,Taller,8,0,normal,0,0.97,NARR-3,Pyme,2,1,1,424,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9922,99,sklearn-random-forest-v1
CLM-00047,POL-10782,CUST-1598,VEH-2134,DRV-1158,PROV-126,vehicles,Vidrios,glass,app,Manta,Norte,2006,20,5736,7434,3232,Liquidado,15397,255,2,2,1,1,0,504,576,3,2026-05-20T19:23:49.272364+00:00,2026-05-23T19:23:49.272364+00:00,0,1,0,0,Clinica,0,0,frontal,0,0.24,NARR-146,Retail,18,3,0,667,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0646,6,sklearn-random-forest-v1
CLM-00048,POL-10799,CUST-1611,VEH-2163,DRV-1181,PROV-137,vehicles,Incendio,fire,broker,Manta,Norte,2021,5,15474,11949,9614,Reserva,28920,319,0,1,1,0,0,90,118,1,2026-04-13T19:23:49.272364+00:00,2026-04-14T19:23:49.272364+00:00,0,1,0,0,Clinica,0,0,multiple,0,0.54,NARR-147,Retail,80,1,0,774,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.1141,11,sklearn-random-forest-v1
CLM-00049,POL-10816,CUST-1624,VEH-2192,DRV-1204,PROV-148,vehicles,Dano propio,collision,broker,Quito,Austro,2013,13,24455,19186,20180,Reserva,43237,400,0,2,1,1,1,344,535,0,2026-03-04T19:23:49.272364+00:00,2026-03-04T19:23:49.272364+00:00,0,1,0,0,Perito,1,0,posterior,0,0.21,NARR-148,Preferente,77,2,0,828,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.068,7,sklearn-random-forest-v1
CLM-00050,POL-10833,CUST-1637,VEH-2221,DRV-1227,PROV-159,vehicles,Vidrios,glass,broker,Manta,Costa,2010,16,12023,13222,8310,Reserva,40442,479,2,2,0,0,0,450,190,3,2026-04-18T19:23:49.272364+00:00,2026-04-21T19:23:49.272364+00:00,0,1,0,0,Asegurado,2,0,frontal,0,0.51,NARR-149,Preferente,21,5,0,781,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0816,8,sklearn-random-forest-v1
CLM-00051,POL-10850,CUST-1650,VEH-2250,DRV-1250,PROV-170,vehicles,Incendio,fire,broker,Loja,Sierra Centro,2012,14,1169,1259,700,Liquidado,2554,655,0,0,0,0,1,593,90,3,2026-01-27T19:23:49.272364+00:00,2026-01-30T19:23:49.272364+00:00,1,1,0,0,Taller,0,0,posterior,0,0.29,NARR-150,Preferente,83,2,0,785,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0525,5,sklearn-random-forest-v1
CLM-00052,POL-10867,CUST-402,VEH-706,DRV-301,PROV-23,vehicles,Atencion medica,injury,web,Guayaquil,Norte,2010,16,13934,7138,8645,Reserva,31516,620,2,3,2,2,1,30,77,2,2026-03-07T19:23:49.272364+00:00,2026-03-09T19:23:49.272364+00:00,0,0,1,0,Taller,9,0,frontal,0,0.77,NARR-3,Retail,2,2,0,521,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.6508,65,sklearn-random-forest-v1
CLM-00053,POL-10884,CUST-1676,VEH-2308,DRV-1296,PROV-112,vehicles,Dano propio,collision,web,Quito,Norte,2006,20,7774,6439,5328,Pago Parcial,26972,449,1,1,1,1,1,286,680,1,2026-05-01T19:23:49.272364+00:00,2026-05-02T19:23:49.272364+00:00,0,1,0,0,Taller,0,0,volcadura,0,0.42,NARR-152,Retail,40,3,0,817,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.022,2,sklearn-random-forest-v1
CLM-00054,POL-10901,CUST-404,VEH-708,DRV-303,PROV-25,vehicles,Robo parcial,theft,callcenter,Ambato,Norte,2001,25,6249,3657,0,Reserva,22230,383,2,6,2,3,0,42,291,11,2026-04-24T19:23:49.272364+00:00,2026-05-05T19:23:49.272364+00:00,1,0,1,0,Clinica,7,0,multiple,0,0.97,NARR-5,Retail,7,2,0,515,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9887,99,sklearn-random-forest-v1
